rep,arm,mission,scenario,zones_installed,obstacles_installed,outcome,reason,plan_mode,zone_pass,plan_total_ms,chain_total_ms,frontend_ms,max_solve_ms,eikonal_ms,grid,ceiling_u,geo_z_max_u,pieces,flight_s,min_agl_u,env_viol_pct,env_peak_pct,env_peak_limit,risk_max,risk_exposure_s,hard_zone_contacts,hard_zone_contact_s,soft_zone_contacts,zone_policy_measurable,zone_sample_dt,obstacles_expected,obstacles_added,obstacles_deferred,obstacles_skipped,retry_fallback,seam_worst,zones_in_search,leaked_procs,log,log_src
1,direct_off,r3_mountain_terrain_following,r3_mixed_terrain_zones,5,7,CLEAN,,direct,2,11990.0,,,,1309.3,317x740x126,34.67,6.62,,,0.168,1.4,107.5,bank angle,0.0010,0.0,0,0.0,22,true,0.10,7,7,0,0,2,,5,0,direct_off_r3_mountain_terrain_following_r3_mixed_terrain_zones_r1.log,path_manager_20260811_150604.log
1,off,r3_mountain_terrain_following,r3_multiple_zones,3,4,CLEAN,,chain,1,889.0,889.0,462.0,426.0,446.6,423x696x132,36.34,8.64,104,238.9,0.317,0.1,100.7,maximum thrust,0.0000,0.0,0,0.0,0,true,0.10,4,4,0,0,1,4.547e-13,3,0,off_r3_mountain_terrain_following_r3_multiple_zones_r1.log,path_manager_20260811_150634.log
1,on,r3_mountain_terrain_following,r3_multiple_zones,3,4,CLEAN,,chain,1,877.0,878.0,474.0,402.0,459.0,423x696x132,36.34,8.64,112,238.6,0.324,0.0,98.3,maximum thrust,0.0000,0.0,0,0.0,0,true,0.10,4,4,0,0,1,2.484e-16,3,0,on_r3_mountain_terrain_following_r3_multiple_zones_r1.log,path_manager_20260811_150654.log
1,direct_off,r3_mountain_terrain_following,r3_multiple_zones,3,4,CLEAN,,direct,1,2412.0,,,,336.0,423x696x132,36.34,8.6,,,0.349,0.0,94.3,bank angle,0.0000,0.0,0,0.0,0,true,0.10,4,4,0,0,2,,3,0,direct_off_r3_mountain_terrain_following_r3_multiple_zones_r1.log,path_manager_20260811_150712.log
1,off,r3_mountain_terrain_following,r3_nested_zones,4,4,CLEAN,,chain,1,1319.0,1320.0,808.0,510.0,777.2,463x940x111,30.14,7.68,95,289.3,0.352,0.0,97.8,lift coefficient,0.0000,0.0,0,0.0,0,true,0.10,4,4,0,0,1,4.547e-13,4,0,off_r3_mountain_terrain_following_r3_nested_zones_r1.log,path_manager_20260811_150732.log
1,on,r3_mountain_terrain_following,r3_nested_zones,4,4,CLEAN,,chain,1,1867.0,1867.0,806.0,1059.0,775.0,463x940x111,30.14,7.68,95,288.2,0.343,0.0,99.7,bank angle,0.0000,0.0,0,0.0,0,true,0.10,4,4,0,0,1,1.017e-12,4,0,on_r3_mountain_terrain_following_r3_nested_zones_r1.log,path_manager_20260811_150751.log
1,direct_off,r3_mountain_terrain_following,r3_nested_zones,4,4,CLEAN,,direct,1,4182.0,,,,623.8,463x940x111,30.14,7.68,,,0.341,0.0,94.9,maximum thrust,0.0000,0.0,0,0.0,0,true,0.10,4,4,0,0,2,,4,0,direct_off_r3_mountain_terrain_following_r3_nested_zones_r1.log,path_manager_20260811_150810.log
1,off,r3_mountain_terrain_following,r3_single_large_zone,1,1,REJECTED,segment 3/3 failed (merge retries exhausted); single-shot fallback failed too,,1,1487.0,,,,498.8,508x896x117,32.03,3.79,,,,,0.0,,,,,,,,,1,1,0,0,3,,1,0,off_r3_mountain_terrain_following_r3_single_large_zone_r1.log,path_manager_20260811_150831.log
1,on,r3_mountain_terrain_following,r3_single_large_zone,1,1,REJECTED,segment 2/3 failed (merge retries exhausted); single-shot fallback failed too,,1,1532.0,,,,496.5,508x896x117,32.03,3.79,,,,,0.0,,,,,,,,,1,1,0,0,5,,1,0,on_r3_mountain_terrain_following_r3_single_large_zone_r1.log,path_manager_20260811_150850.log
1,direct_off,r3_mountain_terrain_following,r3_single_large_zone,1,1,REJECTED,auto-N below threshold (phase mode: direct); single-shot fallback failed too,,1,1276.0,,,,495.8,508x896x117,32.03,3.79,,,,,0.0,,,,,,,,,1,1,0,0,1,,1,0,direct_off_r3_mountain_terrain_following_r3_single_large_zone_r1.log,path_manager_20260811_150909.log
1,off,r4_long_range_traverse,r4_traverse_chain,10,10,CLEAN,,chain,1,3511.0,3511.0,2154.0,1340.0,2076.8,2377x458x128,35.25,8.71,467,1904.4,0.364,0.0,100.3,maximum thrust,0.0000,0.0,0,0.0,0,true,0.10,10,10,0,0,0,9.095e-13,10,0,off_r4_long_range_traverse_r4_traverse_chain_r1.log,path_manager_20260811_150927.log
1,on,r4_long_range_traverse,r4_traverse_chain,10,10,CLEAN,,chain,1,3551.0,3551.0,2172.0,1362.0,2094.8,2377x458x128,35.25,8.71,467,1905.5,0.15,0.3,106.6,bank angle,0.0000,0.0,0,0.0,0,true,0.10,10,10,0,0,0,1.017e-12,10,0,on_r4_long_range_traverse_r4_traverse_chain_r1.log,path_manager_20260811_150948.log
1,direct_off,r4_long_range_traverse,r4_traverse_chain,10,10,CLEAN,,direct,1,9739.0,,,,1826.5,2377x458x128,35.25,8.71,,,0.385,0.0,96.6,bank angle,0.0000,0.0,0,0.0,0,true,0.10,10,10,0,0,2,,10,0,direct_off_r4_long_range_traverse_r4_traverse_chain_r1.log,path_manager_20260811_151010.log
1,off,r5_extended_corridor,r5_corridor_wall,8,8,CLEAN,,chain,2,7354.0,7354.0,2921.0,4425.0,2857.7,350x1960x111,29.9,6.26,329,1142.9,0.399,0.0,96.6,maximum thrust,0.0000,0.0,0,0.0,3,true,0.10,8,8,0,0,0,1.286e-12,8,0,off_r5_extended_corridor_r5_corridor_wall_r1.log,path_manager_20260811_151037.log
