rep,arm,mission,scenario,zones_installed,obstacles_installed,outcome,reason,plan_mode,zone_pass,plan_total_ms,chain_total_ms,frontend_ms,max_solve_ms,eikonal_ms,grid,ceiling_u,geo_z_max_u,pieces,flight_s,min_agl_u,env_viol_pct,env_peak_pct,env_peak_limit,risk_max,risk_exposure_s,hard_zone_contacts,hard_zone_contact_s,soft_zone_contacts,zone_policy_measurable,zone_sample_dt,obstacles_expected,obstacles_added,obstacles_deferred,obstacles_skipped,retry_fallback,seam_worst,zones_in_search,leaked_procs,yaw_seed,standoff_zone_contacts,zone_clearance_qmin,plan_outcome,plan_reason,yaw_seed_mode,hard_zone_qmin,hard_zone_t0,hard_zone_t1,hard_zone_runs,log,log_src
1,direct_off,r3_mountain_terrain_following,r3_mixed_terrain_zones,5,7,CLEAN,,direct,2,14834.0,,,,1583.6,317x740x126,34.67,6.62,,,0.168,1.4,107.5,bank angle,0.0010,0.0,0,0.0,22,true,0.10,7,7,0,0,2,,5,0,69144235,0,,DEGRADED,auto-N below threshold (phase mode: direct),FIXED,,,,,direct_off_r3_mountain_terrain_following_r3_mixed_terrain_zones_r1.log,path_manager_20260812_074849.log
1,off,r3_mountain_terrain_following,r3_multiple_zones,3,4,CLEAN,,chain,1,1906.0,1906.0,548.0,1356.0,530.3,423x696x132,36.34,8.61,104,236.7,0.333,0.0,99.0,maximum thrust,0.0000,0.0,0,0.0,0,true,0.10,4,4,0,0,1,9.095e-13,3,0,69144235,0,0.61106,DEGRADED,"phase handoffs not found (departure idx -1, arrival idx -1) — N kept, balanced j",FIXED,,,,,off_r3_mountain_terrain_following_r3_multiple_zones_r1.log,path_manager_20260812_074922.log
1,on,r3_mountain_terrain_following,r3_multiple_zones,3,4,CLEAN,,chain,1,1931.0,1931.0,549.0,1379.0,531.7,423x696x132,36.34,8.61,104,236.7,0.333,0.0,99.0,maximum thrust,0.0000,0.0,0,0.0,0,true,0.10,4,4,0,0,1,9.095e-13,3,0,69144235,0,0.61106,DEGRADED,"phase handoffs not found (departure idx -1, arrival idx -1) — N kept, balanced j",FIXED,,,,,on_r3_mountain_terrain_following_r3_multiple_zones_r1.log,path_manager_20260812_074941.log
1,direct_off,r3_mountain_terrain_following,r3_multiple_zones,3,4,CLEAN,,direct,1,2847.0,,,,351.1,423x696x132,36.34,8.61,,,0.338,0.0,95.8,load factor,0.0000,0.0,0,0.0,0,true,0.10,4,4,0,0,2,,3,0,69144235,0,0.61468,DEGRADED,auto-N below threshold (phase mode: direct),FIXED,,,,,direct_off_r3_mountain_terrain_following_r3_multiple_zones_r1.log,path_manager_20260812_075001.log
1,off,r3_mountain_terrain_following,r3_nested_zones,4,4,CLEAN,,chain,1,1482.0,1483.0,889.0,591.0,856.2,463x940x111,30.14,7.68,95,289.3,0.352,0.0,97.8,lift coefficient,0.0000,0.0,0,0.0,0,true,0.10,4,4,0,0,1,4.547e-13,4,0,69144235,0,0.61645,DEGRADED,"phase handoffs not found (departure idx -1, arrival idx -1) — N kept, balanced j",FIXED,,,,,off_r3_mountain_terrain_following_r3_nested_zones_r1.log,path_manager_20260812_075021.log
1,on,r3_mountain_terrain_following,r3_nested_zones,4,4,CLEAN,,chain,1,2098.0,2099.0,833.0,1263.0,799.5,463x940x111,30.14,7.68,95,288.2,0.343,0.0,99.7,bank angle,0.0000,0.0,0,0.0,0,true,0.10,4,4,0,0,1,1.017e-12,4,0,69144235,0,0.61731,DEGRADED,"phase handoffs not found (departure idx -1, arrival idx -1) — N kept, balanced j",FIXED,,,,,on_r3_mountain_terrain_following_r3_nested_zones_r1.log,path_manager_20260812_075040.log
1,direct_off,r3_mountain_terrain_following,r3_nested_zones,4,4,CLEAN,,direct,1,4698.0,,,,691.5,463x940x111,30.14,7.68,,,0.341,0.0,94.9,maximum thrust,0.0000,0.0,0,0.0,0,true,0.10,4,4,0,0,2,,4,0,69144235,0,0.61426,DEGRADED,auto-N below threshold (phase mode: direct),FIXED,,,,,direct_off_r3_mountain_terrain_following_r3_nested_zones_r1.log,path_manager_20260812_075100.log
1,off,r3_mountain_terrain_following,r3_single_large_zone,1,1,REJECTED,segment 3/3 failed (merge retries exhausted); single-shot fallback failed too,,1,1599.0,,,,516.1,508x896x117,32.03,3.79,,,,,0.0,,,,,,,,,1,1,0,0,3,,1,0,69144235,,,FAILED,segment 3/3 failed (merge retries exhausted); single-shot fallback failed too,FIXED,,,,,off_r3_mountain_terrain_following_r3_single_large_zone_r1.log,path_manager_20260812_075122.log
1,on,r3_mountain_terrain_following,r3_single_large_zone,1,1,REJECTED,segment 2/3 failed (merge retries exhausted); single-shot fallback failed too,,1,1652.0,,,,541.7,508x896x117,32.03,3.79,,,,,0.0,,,,,,,,,1,1,0,0,5,,1,0,69144235,,,FAILED,segment 2/3 failed (merge retries exhausted); single-shot fallback failed too,FIXED,,,,,on_r3_mountain_terrain_following_r3_single_large_zone_r1.log,path_manager_20260812_075141.log
1,direct_off,r3_mountain_terrain_following,r3_single_large_zone,1,1,REJECTED,auto-N below threshold (phase mode: direct); single-shot fallback failed too,,1,1382.0,,,,541.6,508x896x117,32.03,3.79,,,,,0.0,,,,,,,,,1,1,0,0,1,,1,0,69144235,,,FAILED,auto-N below threshold (phase mode: direct); single-shot fallback failed too,FIXED,,,,,direct_off_r3_mountain_terrain_following_r3_single_large_zone_r1.log,path_manager_20260812_075200.log
