rep,arm,mission,scenario,zones_installed,obstacles_installed,outcome,reason,zone_pass,total_ms,frontend_ms,max_solve_ms,eikonal_ms,grid,ceiling_u,geo_z_max_u,pieces,flight_s,min_agl_u,env_viol_pct,env_peak_pct,env_peak_limit,hard_zone_contacts,retry_fallback,seam_worst,zones_in_search,leaked_procs,log
4,off,r3_mountain_terrain_following,r3_dense_corridor,9,10,CLEAN,,1,5982.0,643.0,5337.0,610.1,356x718x134,36.89,8.0,159,326.8,0.29,0.4,101.9,bank angle,,1,9.095e-13,9,0,path_manager_20260811_085624.log
4,on,r3_mountain_terrain_following,r3_dense_corridor,9,10,CLEAN,,1,6023.0,653.0,5367.0,620.8,356x718x134,36.89,8.0,159,326.9,0.285,0.4,101.9,bank angle,,1,9.095e-13,9,0,path_manager_20260811_085647.log
4,off,r3_mountain_terrain_following,r3_dense_overlap,7,7,REJECTED,segment 3/3 failed (merge retries exhausted); single-shot fallback failed too,1,,,,683.5,467x763x125,34.29,7.1,,,,,5492.0,,,3,,7,0,path_manager_20260811_085710.log
4,on,r3_mountain_terrain_following,r3_dense_overlap,7,7,REJECTED,segment 3/3 failed (merge retries exhausted); single-shot fallback failed too,1,,,,690.0,467x763x125,34.29,7.1,,,,,5492.0,,,3,,7,0,path_manager_20260811_085730.log
4,off,r3_mountain_terrain_following,r3_goal_in_zone,1,1,CLEAN,,1,10236.0,323.0,9910.0,305.6,279x763x125,34.29,7.75,141,322.3,0.083,0.8,104.6,bank angle,,0,1.017e-12,1,0,path_manager_20260811_085749.log
4,on,r3_mountain_terrain_following,r3_goal_in_zone,1,1,CLEAN,,1,3988.0,321.0,3665.0,305.2,279x763x125,34.29,7.5,134,322.4,0.079,0.8,104.7,bank angle,,0,4.547e-13,1,0,path_manager_20260811_085817.log
4,off,r3_mountain_terrain_following,r3_mixed_terrain_zones,5,7,CLEAN,,2,9729.0,1493.0,8234.0,1464.0,317x740x126,34.67,6.62,162,320.3,0.179,1.6,102.6,bank angle,,1,6.431e-13,5,0,path_manager_20260811_085838.log
4,on,r3_mountain_terrain_following,r3_mixed_terrain_zones,5,7,CLEAN,,2,10454.0,1476.0,8460.0,1447.9,317x740x126,34.67,6.62,162,320.6,0.179,1.6,102.6,bank angle,,3,4.441e-16,5,0,path_manager_20260811_085905.log
4,off,r3_mountain_terrain_following,r3_multiple_zones,3,4,CLEAN,,1,831.0,470.0,359.0,454.7,423x696x132,36.34,8.64,112,238.6,0.324,0.0,98.3,maximum thrust,,1,2.484e-16,3,0,path_manager_20260811_085933.log
4,on,r3_mountain_terrain_following,r3_multiple_zones,3,4,CLEAN,,1,782.0,473.0,308.0,457.4,423x696x132,36.34,8.64,112,238.6,0.324,0.0,98.3,maximum thrust,,1,2.484e-16,3,0,path_manager_20260811_085951.log
4,off,r3_mountain_terrain_following,r3_nested_zones,4,4,CLEAN,,1,1336.0,820.0,514.0,789.3,463x940x111,30.14,7.68,95,289.3,0.352,0.0,97.8,lift coefficient,,1,4.547e-13,4,0,path_manager_20260811_090009.log
4,on,r3_mountain_terrain_following,r3_nested_zones,4,4,CLEAN,,1,1742.0,795.0,945.0,764.2,463x940x111,30.14,7.68,95,288.2,0.343,0.0,99.7,bank angle,,1,1.017e-12,4,0,path_manager_20260811_090028.log
4,off,r3_mountain_terrain_following,r3_single_large_zone,1,1,REJECTED,segment 3/3 failed (merge retries exhausted); single-shot fallback failed too,1,,,,493.0,508x896x117,32.03,3.79,,,,,0.0,,,3,,1,0,path_manager_20260811_090047.log
4,on,r3_mountain_terrain_following,r3_single_large_zone,1,1,REJECTED,segment 2/3 failed (merge retries exhausted); single-shot fallback failed too,1,,,,503.5,508x896x117,32.03,3.79,,,,,0.0,,,5,,1,0,path_manager_20260811_090105.log
4,off,r4_long_range_traverse,r4_traverse_chain,10,10,CLEAN,,1,3471.0,2178.0,1277.0,2099.6,2377x458x128,35.25,8.71,467,1904.4,0.364,0.0,100.3,maximum thrust,,0,9.095e-13,10,0,path_manager_20260811_090124.log
4,on,r4_long_range_traverse,r4_traverse_chain,10,10,CLEAN,,1,3568.0,2182.0,1369.0,2104.7,2377x458x128,35.25,8.71,467,1905.5,0.15,0.3,106.6,bank angle,,0,1.017e-12,10,0,path_manager_20260811_090145.log
4,off,r5_extended_corridor,r5_corridor_wall,8,8,CLEAN,,1,4289.0,933.0,1841.0,876.3,350x1960x111,29.9,6.27,296,1145.0,0.346,0.0,96.7,maximum thrust,,4,1.286e-12,8,0,path_manager_20260811_090206.log
4,on,r5_extended_corridor,r5_corridor_wall,8,8,CLEAN,,2,7312.0,2863.0,4441.0,2799.7,350x1960x111,29.9,6.26,329,1143.0,0.284,0.0,96.8,maximum thrust,,0,9.095e-13,8,0,path_manager_20260811_090229.log
4,off,r5_transition_success_probe,r5_corridor_wall,8,8,REJECTED,no candidate survived propagation gates (see audit counters),2,,,,2818.8,350x1960x111,29.9,6.26,,,,,,,,0,,8,0,path_manager_20260811_090255.log
