Time,BR710_N1[0],BR710_N2[0],Direct Thrust (engine 0 in lbs),BR710_N1[1],BR710_N2[1],Direct Thrust (engine 1 in lbs),Fuel Tank 0,Fuel Tank 1,Fuel Tank 2,/fdm/jsbsim/aero/alphadot-deg_sec,/fdm/jsbsim/aero/betadot-deg_sec,/fdm/jsbsim/velocities/ve-kts,/fdm/jsbsim/velocities/vc-kts,/fdm/jsbsim/velocities/mach,/fdm/jsbsim/aero/beta-deg,/fdm/jsbsim/aero/alpha-deg,/fdm/jsbsim/velocities/vtrue-kts,/fdm/jsbsim/gear/gear-cmd-norm,/fdm/jsbsim/position/h-agl-ft
7.25,7.29815,7.29815,0,7.29815,7.29815,0,8097.63,8097.63,8097.63,0.00941044295376982677,-0.00159425869218323595,299.539736921627821,300.980191591609696,0.495846350906132438,-0.00406247858286507869,-15.3465716270371484,322.37731620061146,1,4937.38096096056233
7.252,7.30565,7.30565,0,7.30565,7.30565,0,8097.63,8097.63,8097.63,0.0104937073467952936,-0.00159336633294459239,299.55585030504443,300.996261310063687,0.495865401386780258,-0.0040656657065441448,-15.3465514517415862,322.390644938021069,1,4936.55864183949234
7.254,7.31316,7.31316,0,7.31316,7.31316,0,8097.63,8097.63,8097.63,0.0115730091292860736,-0.00159247461870053782,299.571974955004009,301.012342281322219,0.495884466473733965,-0.00406885104603644555,-15.3465291157197701,322.403983660283984,1,4935.73595764244146
7.256,7.32067,7.32067,0,7.32067,7.32067,0,8097.63,8097.63,8097.63,0.0126483428105102248,-0.00159158354822910267,299.588110869976902,301.028434503782705,0.495903546164465359,-0.004072034602625672,-15.3465046269050998,322.417332365739071,1,4934.9129084889455
7.258,7.32819,7.32819,0,7.32819,7.32819,0,8097.63,8097.63,8097.63,0.0137197029724378753,-0.00159069312031881785,299.604258048310044,301.044537975728076,0.495922640456448849,-0.00407521637758973074,-15.3464779932419297,322.430691052701093,1,4934.08949452780053
7.26,7.33572,7.33572,0,7.33572,7.33572,0,8097.63,8097.63,8097.63,0.0147870842709096183,-0.00158980333379155482,299.620416488431886,301.060652695514534,0.495941749347086014,-0.0040783963722316437,-15.3464492226852869,322.444059719463382,1,4933.265715894815
7.262,7.34326,7.34326,0,7.34326,7.34326,0,8097.63,8097.63,8097.63,0.0158504814304939144,-0.00158891418745959632,299.636586188630872,301.076778661365779,0.495960872833788535,-0.0040815745878202761,-15.346418323200826,322.457438364295797,1,4932.44157273226938
7.264,7.35081,7.35081,0,7.35081,7.35081,0,8097.63,8097.63,8097.63,0.0169098892494428145,-0.00158802568018207436,299.652767147292707,301.092915871595153,0.495980010913887104,-0.00408475102565390019,-15.3463853027646415,322.470826985445456,1,4931.61706516946288
7.266,7.35836,7.35836,0,7.35836,7.35836,0,8097.63,8097.63,8097.63,0.0179653025933164887,-0.00158713781080751007,299.668959362715384,301.109064324432666,0.495999163584704084,-0.00408792568697807258,-15.3463501693630846,322.484225581137139,1,4930.79219335844846
7.268,7.36592,7.36592,0,7.36592,7.36592,0,8097.63,8097.63,8097.63,0.019016716404930134,-0.00158625057822500476,299.685162833157108,301.125224018067911,0.496018330843532362,-0.00409109857305626004,-15.3463129309927115,322.497634149572093,1,4929.96695742201427
7.27,7.37349,7.37349,0,7.37349,7.37349,0,8097.63,8097.63,8097.63,0.0200641256904859067,-0.00158536398132609049,299.70137755690746,301.1413949507197,0.496037512687610815,-0.00409426968520158578,-15.3462735956601026,322.511052688929283,1,4929.14135751220601
7.272,7.38106,7.38106,0,7.38106,7.38106,0,8097.63,8097.63,8097.63,0.0211075255307356241,-0.0015844780190125262,299.717603532267844,301.157577120615315,0.496056709114129135,-0.00409743902469354021,-15.3462321713816454,322.52448119736448,1,4928.31539376483852
7.274,7.38865,7.38865,0,7.38865,7.38865,0,8097.63,8097.63,8097.63,0.0221469110808879474,-0.00158359269021763542,299.73384075736584,301.17377052581935,0.496075920120301217,-0.00410060659277740151,-15.3461886661835631,322.537919673010435,1,4927.48906630918191
7.276,7.39624,7.39624,0,7.39624,7.39624,0,8097.63,8097.63,8097.63,0.0231822775567594938,-0.0015827079938869166,299.750089230477784,301.189975164529926,0.496095145703239648,-0.00410377239070088603,-15.3461430881016163,322.551368113977048,1,4926.6623752940468
7.278,7.40383,7.40383,0,7.40383,7.40383,0,8097.63,8097.63,8097.63,0.024213620253440999,-0.00158182392897988694,299.766348949757116,301.206191034832443,0.496114385860061846,-0.00410693641975476767,-15.3460954451809926,322.564826518351595,1,4925.83532086173091
7.28,7.41144,7.41144,0,7.41144,7.41144,0,8097.63,8097.63,8097.63,0.0252409345352205376,-0.00158094049447710756,299.782619913369103,301.22241813482043,0.496133640587835156,-0.00411009868119854415,-15.3460457454762462,322.578294884197476,1,4925.0079031317664
7.282,7.41905,7.41905,0,7.41905,7.41905,0,8097.63,8097.63,8097.63,0.0262642158316552,-0.00158005768936888419,299.798902119459001,301.238656462567633,0.496152909883592952,-0.00411325917628069422,-15.3459939970510515,322.591773209555981,1,4924.18012226271549
